4455,4,0
4452,7,0
4439,20,0
4424,35,0
4405,54,0
4380,76,3
4353,97,9
4308,139,12
4261,184,14
4206,232,21
4145,281,33
4077,332,50
3992,396,71
3903,463,93
3807,529,123
3706,597,156
3594,655,210
3485,710,264
3390,753,316
3287,790,382
3181,828,450
3077,851,531
2984,868,607
2877,893,689
2776,890,793
2672,886,901
2570,880,1009
2457,870,1132
2341,870,1248
2218,869,1372
2100,839,1520
1963,823,1673
1826,808,1825
1722,752,1985
1615,691,2153
1512,615,2332
1411,539,2509
1308,500,2651
1247,416,2796
1189,346,2924
1134,285,3040
1082,228,3149
1030,217,3212
979,210,3270
929,205,3325
879,203,3377
830,200,3429
781,198,3480
732,197,3530
683,196,3580
634,196,3629
585,196,3678
536,196,3727
487,196,3776
438,196,3825
389,196,3874
389,147,3923
389,98,3972
389,49,4021
389,0,4070
389,0,4070
389,0,4070
389,0,4070
389,0,4070
389,0,4070
