4459,0,0
4459,0,0
4459,0,0
4452,7,0
4446,13,0
4438,21,0
4427,32,0
4417,42,0
4410,49,0
4402,57,0
4396,63,0
4385,74,0
4371,88,0
4357,102,0
4344,115,0
4328,127,4
4302,148,9
4272,177,10
4241,204,14
4200,244,15
4154,290,15
4094,349,16
4026,415,18
3958,481,20
3888,548,23
3826,608,25
3750,682,27
3681,743,35
3602,811,46
3526,879,54
3464,934,61
3406,974,79
3342,1023,94
3278,1067,114
3221,1106,132
3176,1128,155
3123,1165,171
3070,1194,195
3004,1238,217
2909,1307,243
2834,1356,269
2763,1412,284
2695,1457,307
2624,1507,328
2529,1583,347
2445,1642,372
2386,1678,395
2327,1714,418
2289,1726,444
2256,1728,475
2231,1699,529
2242,1643,574
2256,1589,614
2280,1529,650
2308,1457,694
2343,1371,745
2373,1291,795
2410,1214,835
2453,1124,882
2501,1035,923
2520,983,956
2559,909,991
2582,855,1022
2607,800,1052
2605,780,1074
2612,752,1095
2605,736,1118
2589,727,1143
2586,710,1163
2613,662,1184
2628,625,1206
2644,587,1228
2679,528,1252
2712,479,1268
2752,412,1295
2785,355,1319
2821,290,1348
2850,238,1371
2879,176,1404
2909,126,1424
2931,94,1434
2960,58,1441
2984,26,1449
2993,15,1451
2999,9,1451
3005,3,1451
3007,1,1451
3007,1,1451
3007,1,1451
3007,1,1451
3008,0,1451
3008,0,1451
3008,0,1451
3008,0,1451
