4422,37,0
4441,18,0
4429,30,0
4422,37,0
4418,41,0
4414,45,0
4411,48,0
4405,54,0
4401,58,0
4396,63,0
4393,66,0
4391,68,0
4385,68,6
4380,66,13
4382,61,16
4390,50,19
4392,47,20
4391,48,20
4387,48,24
4388,46,25
4386,47,26
4385,47,27
4382,50,27
4380,51,28
4378,51,30
4376,52,31
4370,56,33
4365,60,34
4355,69,35
4340,82,37
4325,95,39
4312,106,41
4300,118,41
4289,128,42
4271,145,43
4249,163,47
4233,177,49
4213,193,53
4184,220,55
4158,242,59
4127,267,65
4100,289,70
4071,309,79
4040,331,88
4016,351,92
3985,373,101
3942,407,110
3899,444,116
3858,473,128
3808,511,140
3762,541,156
3716,572,171
3642,631,186
3574,688,197
3509,737,213
3445,787,227
3384,835,240
3330,871,258
3275,905,279
3222,931,306
3174,950,335
3125,973,361
3069,998,392
3016,1018,425
2977,1022,460
2944,1021,494
2917,1018,524
2901,997,561
2907,961,591
2926,910,623
2915,899,645
2931,852,676
2923,829,707
2929,791,739
2906,775,778
2922,726,811
2922,698,839
2917,670,872
2909,652,898
2890,653,916
2848,676,935
2794,713,952
2747,741,971
2719,744,996
2694,743,1022
2658,757,1044
2625,775,1059
2586,793,1080
2545,809,1105
2497,834,1128
2453,839,1167
2406,840,1213
2365,831,1263
2334,828,1297
2299,838,1322
2265,843,1351
2235,831,1393
2214,819,1426
2179,824,1456
2141,823,1495
2116,803,1540
2107,770,1582
2123,717,1619
2131,670,1658
2158,602,1699
2172,547,1740
2193,482,1784
2216,418,1825
2238,361,1860
2255,312,1892
2279,252,1928
2302,192,1965
2330,141,1988
2355,105,1999
2373,81,2005
2387,59,2013
2399,38,2022
2407,25,2027
2414,17,2028
2419,10,2030
2422,5,2032
2424,3,2032
2426,1,2032
2427,0,2032
2427,0,2032
